Palabra Original,Traducción
cristales líquidos,liquid crystals
preservation,preservation
ingenieria de datos,data engineering
confiabilidad,reliability
clima de los negocios en españa,business climate in spain
programación estocástica,stochastic programming
localización y seguimiento distribuidos,distributed localization and tracking
simetrías superiores,higher symmetries
acero ferrítico-martensítico (g91),ferritic-martensitic steel (g91)
guías de calificación polvo metálico,metal powder qualification guides
composite extrusion modelling (cem),composite extrusion modelling (cem)
laser powder bed fusion,laser powder bed fusion
inteligencia. diversidad. grafos.multidimensional.dispersion. logica difusa. bipolaridad. agregación.multicriterio. aplicaciones,intelligence. diversity. graphs.multidimensional.dispersion. diffuse logic. bipolarity. multicriteria aggregation. Applications
detección y clasificación de vehículos,vehicle detection and classification
vínculo,bond
plasma caracterization,plasma caracterization
regulación de mercados,market regulation
sistema de ficheros,file system
fibrilación auricular,atrial fibrillation
movilidad en redes ip,mobility in ip networks
airframe design,airframe design
structural optimisation,structural optimisation
descripcion hibrida,hybrid description
biopeliculas,biopeliculas
epítetos,epithets
urban computing,urban computing
derechos emergentes,emerging rights
asic,asic
fisioterapia,physiotherapy
termosolar,thermosolar
pobreza energética,energy poverty
ingeniería de la web,web engineering
ablación térmica,thermal ablation
cooperative perception,cooperative perception
malladas,malladas
investigación atmosférica,atmospheric research
critical infrastructures,critical infrastructures
reconfiguración dinámica,dynamic reconfiguration
modelos: discretos,models: discreet
technical privacy and security,technical privacy and security
mecánica de sólidos,Solid mechanics
electronic security,electronic security
propulsión,propulsion
emulador pc,pc emulator
mapa digital,digital map
wp2,wp2
safety),safety)
sector aeroespacial,aerospace sector
sector,sector
biomedical signal processing,biomedical signal processing
grupos de interés,interest groups
aeroelasticidad.,aeroelasticity.
responsible reasearch and innovation,responsible reasearch and innovation
ciencia de datos,data science
enfermedades monogénicas de la piel,monogenic skin diseases
evaluación de políticas,policy evaluation
espectro,spectrum
juventud,youth
desigualdad social,Social inequality
linked data,linked data
detección uhf,uhf detection
matemáticas,mathematics
capilaridad,capillarity
packaging,packaging
mechanical and acoustical properties of condensed matter,mechanical and acoustical properties of condensed matter
microrredes de energía,energy microgrids
diseño de sistemas ópticos,optical system design
wolframio,tungsten
vulnerability forecast,vulnerability forecast
ayuda humanitaria,humanitarian aid
diagnóstico en línea,online diagnosis
hft,hft
exposición,exhibition
arquitectura,architecture
marcas,brands
garantías internacionales,international guarantees
electro-óptica,electro-optics
hilado por soplado,blown yarn
modelos matematicos,mathematical models
entrevistas cognitivas,cognitive interviews
gestión internacional de recursos humanos,international human resources management
manipulación contable,accounting manipulation
microscopía electróncia de transmisión,transmission electron microscopy
competitiva,competitive
heat transfer,heat transfer
2004/80/ec,2004/80/ec
web of science,web of science
latent,latent
mobility,mobility
modelos ambientales,environmental models
archivos fotográficos,Photographic archives
20 kw,20 kw
pruebas unitarias,unit tests
libor,libor
plataformas en línea,online platforms
beyond 5g,beyond 5g
esfuerzos de cortocircuito,short circuit stress
gpus,gpus
propagación de fallos,fault propagation
herramientas,tools
multi-escala,multi-scale
cognición,cognition
mecánica de fluidos computacional,computational fluid mechanics
secado por spray de aceite caliente,hot oil spray drying
datos de alta dimensión,high dimensional data
financiacion,financing
hybrid-electric regional,hybrid-electric regional
calentamiento por inducción,induction heating
- dirección:,- address:
cuasiespecies,cuasiespecies
directivos,managers
phased-array,phased-array
trabajo en equipo,teamwork
sistemas de altas prestaciones,high performance systems
moldeo,molding
covid-19,covid-19
receptores,receivers
normativity,normativity
spaces,spaces
resources,resources
values,values
private companies,private companies
progressive development,progressive development
polarización circular,circular polarization
dispersión,dispersion
habilidades no cognitivas,non-cognitive skills
- teléfono:,- telephone:
tribunales y órganos de protección internacional de derechos humanos,courts and bodies for the international protection of human rights
drones,drones
metadiseño,metadesign
regulación económica,economic regulation
competencia y poder de mercado,competition and market power
3d-dic.,3d-dic.
agujeros negros.,black holes.
riesgo idiosincrático,idiosyncratic risk
scattering ir,scattering ir
detección multiespectral ir,ir multispectral detection
arrays ir de plano focal,focal plane ir arrays
detección de gases y,gas detection and
microburbujas,microburbujas
puertas giratorias,revolving doors
conexiones políticas,political connections
grandes empresas,big enterprises
políticos,politicians
supercomputadores,supercomputers
periodismo judicial,judicial journalism
sensory systems,sensory systems
ministerio de educación y formación profesional,ministry of education and vocational training
unesco,unesco
ensayo experimental,experimental test
convertidores para aplicaciones ferroviarias,converters for railway applications
rehabilitación del miembro superior,upper limb rehabilitation
sonido,sound
población vulnerable,vulnerable population
teoría de campos,field theory
protesta,protest
bioingeniería de tejidos,tissue bioengineering
herramientas de corte,cutting tools
edp,edp
tissue characterization.,tissue characterization.
piezoresistive mems microphone,piezoresistive mems microphone
partidos políticos,political parties
convertidores de datos,data converters
financial reporting,financial reporting
electron cyclotron resonance,electron cyclotron resonance
actividad electrónica,electronic activity
optimization,optimization
ángulo limitado,limited angle
3gpp,3gpp
televisión digital,digital television
entropía,entropy
impacto económico,economic impact
industrial internet of things,industrial internet of things
materiales magnéticos,magnetic materials
semiconductores de banda ancha,broadband semiconductors
auto-identificación,self-identification
i+d,i+d
cumplimiento normativo,normative compliance
p108 optics and quantum optics,p108 optics and quantum optics
p320 medical physics,p320 medical physics
crashworthiness,crashworthiness
estandarización,standardization
tasas de interés,interest rates
integrated process chains,integrated process chains
medida de presión,pressure measurement
transpasos intra e intertecnología,intra and intertechnology transfers
hall effect thruster,hall effect thruster
uniones,unions
transformaciones urbanas,urban transformations
m2m,m2m
sensor respuesta dieléctica,dielectric response sensor
integración optrónica de precisión,precision optronic integration
actuador de sma,sma actuator
multivariate analysis,multivariate analysis
climático,climate
codificación de vídeo avc,avc video encoding
teoría,theory
modelos de referencia,reference models
agrupamiento de perfiles,profile grouping
corcho aglomerado,agglomerated cork
digitalisation,digitalisation
weather forecast,weather forecast
airspace capacity,airspace capacity
ondulacuiones,undulacutions
aristóteles,aristotle
efecto de la velocidad de deformación,strain rate effect
convertidores electrónicos,electronic converters
tecnologías,technologies
identidad digital,digital identity
arquitcturas para gestion del contexto,architectures for context management
ux,ux
knowledge reuse,knowledge reuse
personalized medicine,personalized medicine
healthcare,healthcare
organizaciones productivas,productive organizations
tecnologías médicas,medical technologies
no respuesta,no answer
preprocesamiento de los datos,data preprocessing
optical heterodyning,optical heterodyning
precios-referencia,reference prices
arqutecturas de control,control architectures
regional convergence,regional convergence
evaluación del desempeño,performance evaluation
economía española,Spanish economy
lobbying,lobbying
frecuencia muestreo,sampling frequency
docencia,teaching
estética,aesthetics
microwave communications,microwave communications
biosensores,biosensores
modelos económicos,economic models
grupo control,control group
imputación de responsabilidad al superior,imputation of responsibility to superior
agregación,aggregation
modelado de transformadores,transformer modeling
reliability),reliability)
rams (reliability,rams (reliability
redes vehiculares,vehicular networks
fact-checking,fact-checking
comisión nacional de los mercados y la competencia,national markets and competition commission
emprendedor,entrepreneur
cooperación vehículo-vehículo,vehicle-vehicle cooperation
energy management systems,energy management systems
collective agreements,collective agreements
creación de valor,value creation
riesgo,risk
requerimientos de capital,capital requirements
innovaciones,innovations
degradación,degradation
graphical models,graphical models
aceros,steels
análisis daños,damage analysis
human centric algebraic machine learning,human centric algebraic machine learning
mitigación de errores,error mitigation
technology domains,technology domains
simulación numérica de plasma,numerical plasma simulation
victims' rights,victims' rights
dispositivo sintonizable,tunable device
imágenes,images
reserva de dominio,domain reservation
termoplástico,thermoplastic
altas velocidades de deformación,high deformation rates
temperatura criogénica,cryogenic temperature
micromecánica,micromechanics
multiescala,multiescala
particle filtering,particle filtering
radioastronomía,radio astronomy
responsabilidad,responsibility
simetrías,symmetries
manipulación remota,remote manipulation
campo solar lineal de haz descendente,downbeam linear solar field
diseño de robots,robot design
arte y arqueología,art and archeology
crédito por importe de 19.250 euros para gastos del proyectos (no incluido pagos a pdi),"credit in the amount of 19,250 euros for project expenses (not including payments to PDI)"
automotion,automotion
ecology,ecology
comunicaciones selectivas,selective communications
optical backbone,optical backbone
information theory,information theory
public prosecutors,public prosecutors
interoperabilidad,interoperability
teoría de puntos críticos,critical point theory
convertidor tiempo-digital,digital-time converter
machine learning: statistical data processing and applications using signal processing,machine learning: statistical data processing and applications using signal processing
fragmentación del didh,fragmentation of the didh
láminas delgadas,thin sheets
láser pulsados,pulsed laser
flexible functional split,flexible functional split
composicionalidad,compositionality
reconstrucción de imagen,image reconstruction
cerebro,brain
computer networks,computer networks
estudio estadístico,Statistical study
text and data mining,text and data mining
global,global
datos de contacto a efectos de seguimiento económico administrativo:,Contact details for administrative economic monitoring purposes:
market frictions,market frictions
óptica infrarroja,infrared optics
ecuaciones estocásticas diferenciales condicionadas,conditioned differential stochastic equations
arquitectura software,software architecture
fixed effects,fixed effects
perovskite,perovskite
leds,leds
agriculture,agriculture
positioning indoor,positioning indoor
applications,applications
extrusión,extrusion
ehecr,hecr
catálogo,catalog
core network,core network
moby,moby
activación,activation
gstp esa de-risk fmea fmeca,gstp esa de-risk fmea fmeca
sistemas de gestión del handoff,handoff management systems
cargas térmicas,thermal loads
empresa familiar,family business
5g transport networks,5g transport networks
vertical industries,vertical industries
sdm,sdm
dinámicas discontinuas,discontinuous dynamics
eficiencia de mercados,market efficiency
control de temperatura,temperature control
modelado estructural,structural modeling
datos del,data from
quantum control,how much control
sistema de información,information system
fr-01631 cern cedex,fr-01631 cern cedex
modelos dinámicos para datos de panel,dynamic models for panel data
monitorización del tráfico,traffic monitoring
telecomunicaciones,telecommunications
alta frecuencia,high frequency
imagen intraoperatoria,intraoperative image
ip,ip
discapacitados,disabled
selfish behaviour,selfish behaviour
vehiculo comercial,commercial vehicle
optodos,optodes
metamaterial,metamaterial
evasión de tormentas,storm avoidance
analysis/gfem/electric,analysis/gfem/electric
tem,tem
anticuchillo,anti-knife
tendencias,trends
cuidados,care
ict,ict
coordination,coordination
facts,facts
powder metallurgy,powder metallurgy
public sector information,public sector information
cloud infrastructures,cloud infrastructures
public sector innovation,public sector innovation
open government,open government
mercado energético,energy market
informatica,informatica
interaccion hombre-maquina,man-machine interaction
enseñanza,teaching
instituciones,institutions
fesen,the fart
edx,edx
nanoclays,nanoclays
pirita,drink
rocasmetamorficas,metamorphic rocks
lecho fluidizado,fluidized bed
polímeros estructurales electroactivos,electroactive structural polymers
gestión de los recursos humanos,Management of human resources
contabilidad finanzas gobierno corporativo estructura de propiedad,accounting finance corporate governance ownership structure
cine contemporáneo,contemporary cinema
teoría de muestreo,sampling theory
energy collection,energy collection
conversion and storage,conversion and storage
work and welfare mobility,work and welfare mobility
nlp,nlp
productividad,productivity
vivienda,living place
huecos de tensión,tension gaps
contexto experto,expert context
w-band,w-band
high density power converter,high density power converter
platforms,platforms
bargaining,bargaining
expedientes de títulos,title files
entrefases,interphases
financial regulation,financial regulation
capacidad innovadora,innovative capacity
gis,gis
detección automática de maniobras,automatic maneuver detection
polimeros,polimeros
innovation support services,innovation support services
high frequency,high frequency
energía eolica,wind power
políticas culturales,cultural policies
intermetálicos,intermetallics
elrd,elrd
antenas miniaturizadas,miniaturized antennas
inyección de fallos por emulación hardware,hardware emulation fault injection
biomedicina,biomedicine
terahertz communications,terahertz communications
autoridad de,authority of
biometría,biometrics
procesado en array distribuido,distributed array processing
online handbook,online handbook
comunicaciones por satélite,satellite communications
cavitación,cavitation
accidente de trabajo,work accident
pymes,SMEs
costes de ajuste,adjustment costs
fisuras,fissures
sistema automatizado de conducción,automated driving system
seguimiento de trayectoria,trajectory tracking
sistema de control en red,network control system
good government,good government
delegación,delegation
error,error
trayectorias,trajectories
palas rotatorias fisuradas,cracked rotating blades
saliencia,salience
the new women`s movement,the new women`s movement
calidad de aguas,water quality
ignorable missingness,ignorable missingness
microgotas,microgotas
transferencia de masa,mass transfer
tarificación,tariff
procesos estocasticos funcionales,functional stochastic processes
relational contracts,relational contracts
análisis cuantitativos del impacto de campañas de marketing,quantitative analysis of the impact of marketing campaigns
interacción persona-ordenador,human-computer interaction
análisis de transferencia,transfer analysis
marco normativo,Regulatory framework
república y leyes,republic and laws
companies,companies
baterias de litio y sodio,lithium and sodium batteries
moldeo por inyección/extrusión de polvos,injection molding/powder extrusion
impresión 3d.,3d print.
compressed sensing,compressed sensing
imagen hiperspectral,hyperspectral image
contrastes eficientes,efficient contrasts
cine de aficionado,amateur cinema
mechanical failure,mechanical failure
limpieza de tanques de combustible,fuel tank cleaning
autonomous vehicles,autonomous vehicles
robótica y mecanismos,robotics and mechanisms
diplomática,diplomatic
privaciones de libertad,deprivation of liberty
almacenamiento hidrógeno,hydrogen storage
bases de datos espacio temporales,spatiotemporal databases
tic.,tic.
orden de aproximación,approach order
subastas,auctions
behavioral experimentals,experimental behaviour
profesionalización,professionalization
entorno de simulación,simulation environment
superconductores,superconductors
derecho nacional,national law
combustión eficiente de biocombustibles con aplicación a la generación portátil de potencia,efficient combustion of biofuels with application to portable power generation
hedge funds,hedge funds
amortiguamiento activo,active damping
servicios públicos,public services
teoría de juegos dinámicos,dynamic game theory
evaluación de proyectos,project evaluation
horizontes cuánticos,quantum horizons
garantías mobiliarias,movable guarantees
geometría de curvatura negativa,negative curvature geometry
mantenimiento transformadores,transformer maintenance
prototipado,prototyping
cámaras de vídeo op,op video cameras
caracterización mecánica,mechanical characterization
modelado multifísico,multiphysics modeling
modelos de homogeneización,homogenization models
teoría de grafos,Graphic Schema Theory
innovación social,social innovation
virtualized ran,virtualized ran
agenda 2030,agenda 2030
aplicaciones interdisciplinares,interdisciplinary applications
incertidumbre meteorológica,meteorological uncertainty
canales con,channels with
espacios especulares,specular spaces
economía de la familia,family economy
materiales estructurales,structural materials
agrivoltaica,agrivoltaica
contemporáneas,contemporary
power over fiber,power over fiber
selenium,selenium
relajación dieléctrica,dielectric relaxation
ofdm,ofdm
multiortogonalidad,multiortogonalidad
deteccion de actividades,activity detection
archivos,files
transformadores y máquinas eléctricas,transformers and electrical machines
acoustics,acoustics
protección datos,data protection
tecnología adaptativa,adaptive technology
imitación,imitation
inertización de gases,gas inerting
ethical,ethical
high resolution,high resolution
corrosion inhibition,corrosion inhibition
composites materials,composites materials
mantenimiento de la red de relaciones,maintaining the network of relationships
copolímeros en bloque,block copolymers
high-end computing,high-end computing
aerogeneradores dfig,dfig wind turbines
competencias estatales y regionales,state and regional competitions
endurecimiento colaborativo,collaborative hardening
desagregación,disaggregation
módulos fotvoltaicos,photovoltaic modules
mapping abstractions of data,mapping abstractions of data
errores estructurales,structural errors
historia reciente,recent history
presión,pressure
inteligencia aritifical,aritical intelligence
policy evaluation,policy evaluation
plataforma multiestándar,multistandard platform
rehabilitation robotics,rehabilitation robotics
fuente histórica,historical source
sensores infrarrojo,infrared sensors
angiogénesis,angiogenesis
aceite vegetal,vegetable oil
matrices estructuradas,structured matrices
datos enlazados,linked data
cosmología,cosmology
modelado fluidos,fluid modeling
prestaciones no contributivas,non-contributory benefits
lámina delgada,thin sheet
fact integración de energías renovables,fact integration of renewable energies
divulgación científica,scientific dissemination
interfaz de traza,trace interface
autobus autónomo,autonomous bus
tecnologías sanitarias,health technologies
estabilización de láseres,laser stabilization
criptografía post-cuántica ataques físicos ataques de canal lateral,post-quantum cryptography physical attacks side-channel attacks
generador de números aleatorios,random number generator
costes financieros,financial costs
tensiones residuales,residual stresses
experimento,experiment
emulación,emulation
entornos clínicos,clinical settings
multinacionales españolas,Spanish multinationals
investigación económica avanzada,advanced economic research
fotónica cmos,cmos photonics
recursos humanos y evaluación del rendimiento,human resources and performance evaluation
métodos potenciales,potential methods
network operations,network operations
estado social,social state
falange española,spanish phalanx
equidad,equity
valores asintóticos,asymptotic values
contagio financiero,financial contagion
modelos aditivos generalizados,generalized additive models
telecommunications sector,telecommunications sector
estadística actuarial,actuarial statistics
fatiga,fatigue
grupos finitos,finite groups
leo sats,leo sats
css eccs,css eccs
guiaondas activas,active waveguide
menchmarking,menchmarking
green inhibitor,green inhibitor
array de antenas,antenna array
efecctiveness,efecctiveness
social mobility,social mobility
deorbitado de basura espacial,space junk deorbit
colector de energía,energy collector
ciencia política,Politic science
fotoperiodismo,photojournalism
motor control,motor control
reflectancia foliar,leaf reflectance
radio 4g,radio 4g
méxico,Mexico
argentina,argentina
regeneración de pulsos,pulse regeneration
household formation,household formation
bioinspiración,bioinspiration
uas transport management,uas transport management
filosofía jurídico-política,legal-political philosophy
parís,Paris
junta de relaciones culturales,cultural relations board
colaboración científica,scientific collaboration
enlace de documentos,document link
dispositivos inteligentes,smart devices
fibre optic,fibre optic
misinformation,misinformation
pawr,pawr
cfrp-cfrp,cfrp-cfrp
nanomaterials,nanomaterials
perovskites,perovskites
ajuste,adjustment
inserción semántica,semantic insertion
móviles,mobiles
finanzas corporativos,corporate finance
ciencia e ingeniería de materials,materials science and engineering
industria,industry
grupos vulnerables,vulnerable groups
enac,enac
plasticidad,plasticity
programac. dinámica,program dynamic
hidrogen,hydrogen
prosumidores,consumers
riqueza,wealth
derechos de propiedad intelectual derechos por comunicación pública entidades de gestión colectiva de derechos de propiedad intelectual,intellectual property rights rights through public communication collective management entities of intellectual property rights
imagen fiel,Faithful image
data converters,data converters
turbulent boundary layer,turbulent boundary layer
future internet research and experimentation,future internet research and experimentation
internet middlebox measurements,internet middlebox measurements
interdisciplinaridad,interdisciplinarity
picaduras,bites
derecho del trabajo,labor law
presidencia española del consejo,Spanish presidency of the council
iot hyperscaler,iot hyperscaler
espectroscopía de ondas milimétricas,millimeter wave spectroscopy
ecuaciones matriciales,matrix equations
análisis de vulnerabilidades,vulnerability scan
finanzas digitales,digital finance
cuencas,basins
calor fiables,calor fiables
receptores de materiales funcionales,receptors of functional materials
generadores de vapor de un paso,one step steam generators
distribución de temperaturas en los tanques,temperature distribution in the tanks
subtitulado directo,direct subtitling
inversores cc-ac rectificadores ca-cc convertidores cc-cc de,dc-ac inverters ac-dc rectifiers dc-dc converters
loop,loop
residuo orgánico,organic waste
análisis global,global analysis
calentamiento,heating
relaciones laborales,labor Relations
seguridad y salud,security and health
protección social,social protection
zero-pressure balloon,zero-pressure balloon
large coverage,large coverage
nuevos productos,new products
reutilización de información del sector público,reuse of public sector information
receptor solar tubular exterior,receptor solar tubular exterior
mediaciones,mediations
high speed data transfer,high speed data transfer
hogar,home
gnc,gnc
social network analysis,social network analysis
finite element method,finite element method
ecosistemas digitales,digital ecosystems
intra/intergenerational equity,intra/intergenerational equity
molienda,grinding
iniciativa empresarial,entrepreneurship
mojado/delaminado,wet/delaminated
dieta audiovisual,audiovisual diet
sistemas fotovoltaicos,photovoltaic systems
votación,voting
contrato,contract
sistemas métricos dinámicos,dynamic metric systems
igualdad,equality
hipoteca inversa,reverse mortgage
comparación de series temporales,time series comparison
electric distribution technologies,electric distribution technologies
precariedad,precariousness
transición energética,energy transition
objetos de aprendizaje,learning objects
just-in-time compilation,just-in-time compilation
capacidad,ability
cine experimental,cine experimental
almacenamiento distribuído,distributed storage
códigos,codes
estimación de canal,channel estimation
interferencia,interference
onizing radiation,onizing radiation
digital integrated circuits,digital integrated circuits
microprocessor,microprocessor
radiation testing,radiation testing
aerospace environment,aerospace environment
niveles de vida,living standards
registro,record
pufs,puffs
información económico-financiera,economic-financial information
computational analysis,computational analysis
pensiones metodos actuariales envejecimiento,pensions actuarial methods aging
satélite,satellite
networks (communication networks,networks (communication networks
etc.),etc.)
fibra óptica de plástico,plastic fiber optic
brecha de género,gender gap
enfoque de derechos humanos,human rights approach
cibereguridad,cyber security
atm,atm
optical sampling,optical sampling
redes de sensores inalambricos,wireless sensor networks
computacion afectiva,affective computing
violencia de género y doméstica,gender and domestic violence
almacenamiento masivo y distribuido,mass and distributed storage
software anotación de vídeo,video annotation software
sistemas de ecuaciones acopladas de tipo schrödinger y kdv,systems of coupled equations of type schrödinger and kdv
dinámica de ejes,axis dynamics
opinión pública,public opinion
software de baja latencia,low latency software
aviación,aviation
parallelisation,parallelisation
algebras de semicuerpos,semibody algebras
análisis de conceptos formales,formal concept analysis
redes neuronales biológicas,biological neural networks
análisis por elementos,element analysis
industrialización,industrialization
plataformas digitales,digital platforms
historia,history
difusión red,network broadcast
tejido,tissue
reconocimiento de actividades/planes,recognition of activities/plans
información contable,accounting information
macroeconometría,macroeconometrics
sistemas aeroespaciales,aerospace systems
zero knowledge,zero knowledge
utilización herramientas de análisis y diseño de circuitos de microondas y antenas comerciales.,use of commercial microwave circuit and antenna analysis and design tools.
conjuntos,sets
microestructural and mechanical characterization,microestructural and mechanical characterization
materials nano-grained,materials nano-grained
league of nations,league of nations
intellectual cooperation,intellectual cooperation
cultural diplomacy,cultural diplomacy
universities,universities
jae,jae
scientific institutions,scientific institutions
university city of paris,university city of paris
junta de,board
tratamiento de imagen médica,medical image treatment
regulacion financiera,financial regulation
adc,adc
sigma-delta,sigma-delta
micrófono,microphone
computacion evolutiva,evolutionary computing
modelos integrados fraccionalmente,fractionally integrated models
sistemas de recomendación,recommender systems
hho,haha
cuidadores,caregivers
mentoring,mentoring
visibilidad internacional.,international visibility.
inteligencia de negocio,Business Intelligence
seguridad de la información,security of the information
caracterización gases,gas characterization
residuos de neumáticos,tire waste
microplásticos,microplastics
banda de rodadura ecológica,ecological tread
banda de rodadura removible,removable tread
carcasa de larga duración,long lasting casing
hipotecas,mortgages
sociedad digital,digital society
carbón,coal
espacios,spaces
desarrollo progresivo,progressive development
mismatch,mismatch
lifelong learning,lifelong learning
pyme,SME
oppeninnovation,open innovation
redes sociales semánticas,semantic social networks
routers,routers
predicción probabilística,probabilistic prediction
guerra elecrónica,electronic war
investigadores,researchers
caracterización mecánica en condiciones severas de servicio,mechanical characterization in severe service conditions
convertidores formadores de red,network forming converters
magneto-active polymers,magneto-active polymers
discurso,speech
políticas de cultura-comunicación,culture-communication policies
tamaño de mercado,Market size
caracterización de materiales,materials characterization
roma,roma
sistemas inteligentes,intelligent Systems
escepticismo,skepticism
acciones autonomas,autonomous actions
nuevos materiales,New Materials
new space,new space
sistemas de radiofrecuencia,radio frequency systems
cartel fabricantes de camiones,truck manufacturers poster
construccion,construction
digital thread,digital thread
c-ran,c-wound
funciones físicas no-clonables,non-clonable physical functions
diagnosis de plasma,diagnosis de plasma
diseñom,design
producción de bienes de equipo,production of capital goods
uso en medicina,use in medicine
indicadores de participación ciudadana,citizen participation indicators
especificación de modelos dinámicos,dynamic model specification
conversión de energía,energy conversion
diseño universal,universal design
edadismo,ageism
política regulatoria,regulatory policy
problema inverso,inverse problem
conmutador óptico,optical switch
análisis de riesgos,risk analysis
protección contra sobrecalentamiento,overheat protection
network tecnology,network tecnology
plasma thurusters,plasma thurusters
gvar models,gvar-models
fabricación,manufacturing
collusion,collusion
stock exchange,stock exchange
trading,trading
vehículo autónomo terrestre,autonomous land vehicle
ocupaciones femeninas,female occupations
ocupaciones masculinas,male occupations
devaluación trabajo femenino,devaluation of female work
rastreador web,web tracker
inmunologia,immunology
solid state ionic,solid state ionic
análisis diferencial de potencia,differential power analysis
derivados,derivatives
"""filtrado bayesiano""","""bayesian filtering"""
director de operaciones proceso de difusión,director of operations dissemination process
comportamiento electromecánico,electromechanical behavior
ranking,ranking
titularización bancaria,bank securitization
plan estratégico,Strategic plan
industrial action,industrial action
garch,garch
gestión de inversiones,investment Management
diversidad cultural,cultural diversity
moldeo por extrusión de polvos,powder extrusion molding
software refactoring,software refactoring
gap waveguide,gap waveguide
cine y televisión en la españa democrática. recepción y públicos del cine y la televisión en españa,cinema and television in democratic Spain. reception and audiences of cinema and television in Spain
standardization,standardization
– artificial intelligence,– artificial intelligence
mechanical and manufacturing engineering,mechanical and manufacturing engineering
linaje,lineage
realidad mixta,mixed reality
antenas fotoconductivas,photoconductive antennas
lente,spring
localización automática por brazo robótico,automatic localization by robotic arm
juego de azar,gaming
transición,transition
automático,automatic
reacción-difusión,reaction-diffusion
epistemología política,political epistemology
poder y confianza de agentes externos a la empresa,power and trust of agents external to the company
extrema derecha populista,populist extreme right
lexicografía,lexicography
socioeconofísica,socioeconomic physics
sistemas de multi-robot,multi-robot systems
planificación de rutas,route planning
coordinación de robots,robot coordination
gestión universitaria,University management
fragilización por metal líquido,liquid metal embrittlement
mobile edge computing (mec),mobile edge computing (mec)
software-defined networking,software-defined networking
new routing protocols,new routing protocols
baterías litio y post-litio,lithium and post-lithium batteries
tomografía,tomography
macrodatos,macrodata
complex dependence,complex dependence
high dimension,high dimension
functional data,functional data
nonparametrics,nonparametrics
antimicrobial resistance,antimicrobial resistance
wdm,wdm
vigilancia,surveillance
lca,lca
propuesta,proposal
margarita alexandre,daisy alexandre
frío solar,solar cold
envejecimiento,aging
espacios urbanos,urban spaces
ficción audiovisual,audiovisual fiction
imaginarios geográficos,geographical imaginaries
patrimonio cultural,cultural heritage
discurso historiográfico,historiographic discourse
moocs,moocs
lesbianas,lesbians
condiciones transparentes,transparent conditions
fricciones y desempleo,friction and unemployment
data-intensive applications,data-intensive applications
production designer,production designer
bioimage analysis,bioimage analysis
capital humano,human capital
steel rebars,steel rebars
sensores fibras ópticas,fiber optic sensors
comunicaciones digitales,digital communications
irradiación materiales,irradiation materials
mapa genotipo-fenotipo,genotype-phenotype map
funciones especiales,special functions
afm.,afm.
multi technology,multi technology
fotovoltáica,photovoltaic
data enriched environments.,data enriched environments.
predicción de comportamiento,behavior prediction
bases de datos bibliográficas,bibliographic databases
hardmetals,hardmetals
publicidad,advertising
manuales,manuals
industrial revolution,industrial revolution
social media,social media
trauma,trauma
máquinas,machines
synthetic data,synthetic data
federated learning,federated learning
data spaces,data spaces
lung cancer,lung cancer
impacto ambiental,environmental impact
lhc,lhc
generadores de números aleatorios,random number generators
accountability,accountability
efectos,effects
aprendizaje máquina en comunicaciones,machine learning in communications
identificación de shocks,identification of shocks
ingeniería dirigida por modelos,model-driven engineering
tj-ii,tj-ii
integración social,social integration
mgo,mgo
modelización en marketing,marketing modeling
credit default swaps,credit default swaps
diccionarios históricos,historical dictionaries
embodiment,embodiment
hybridization,hybridization
hipótesis lnt,lnt hypothesis
interacción humano-ia,human-ai interaction
european research excellence in digital sciences,european research excellence in digital sciences
resonadores de película delgada (fbar),thin film resonators (fbar)
computación cuántica,quantum computing
extreme environment,extreme environment
transferencia de conocimiento: modelización estadística,knowledge transfer: statistical modeling
robot síntesis,synthesis robot
radioterapia intraoperatoria,intraoperative radiotherapy
triple-play,triple-play
pompeya,Pompeii
governance and management of cities,governance and management of cities
operadores jurídicos,legal operators
computación voluntaria,voluntary computing
condiciones generales,general conditions
cuidado de ancianos,elderly care
reutilización de software,software reuse
lineas de productos de software,software product lines
modelos de características,feature models
propiedades,properties
european stock,european stock
preclinical development,preclinical development
aceites aislantes,insulating oils
aprendizaje de tareas,task learning
parkinson prediction,parkinson prediction
percepción y minería social,perception and social mining
contratación,hiring
estiramiento,stretching
site de prevessin,prevessin website
cambio cliamtico,climate change
tariffs,tariffs
corrección del factor de potencia,power factor correction
patrones diseño,patterns design
sistemas hamiltonianos,Hamiltonian systems
gdpr,gdpr
aplicaciones intensivas en entrada/salida,input/output intensive applications
tecnologías industriales,industrial technologies
relación con proveedores,relationship with suppliers
mecánicos rotativos,rotary mechanics
industria ferroviaria,railway industry
secado por aceite caliente,hot oil drying
captador concentración,concentration sensor
temperatura del top de nube,cloud top temperature
simulador radiométicos,radiometics simulator
bayesian statistics,bayesian statistics
antena activa,active antenna
estabilidad,stability
demostración en órbita,demonstration in orbit
calentamiento local,local warming
matemática aplicada,aplicated math
arquitectura económica y fiscal,economic and fiscal architecture
encaminamiento,routing
sustainable mobility,sustainable mobility
bibliotecas digitales,digital libraries
circuitos integrados,integrated circuits
online advertising,online advertising
placas con agujero,plates with hole
intercontinental trade,intercontinental trade
adptive interfaces,adptive interfaces
production technology,production technology
process engineering,process engineering
robotica,robotics
economic growth,economic growth
enfermedad de alzheimer,Alzheimer disease
inspección de infraestructuras ferroviarias,railway infrastructure inspection
